fid,CD_MUN,NM_MUN,SIGLA,porcent_nulo_e_branco,13_Soma - QT_VOTOS,22_Soma - QT_VOTOS,branco_Soma - QT_VOTOS,nulo_Soma - QT_VOTOS,porcent_13,porcent_22,normal_13_22,subt_13_22
139,"1400100",Boa Vista,RR,2.20587051379072,37412,144799,1695,2415,20.5322400952742,79.4677599047258,-0.589355198094517,-107387
140,"1400159",Bonfim,RR,1.23762376237624,2382,5199,27,68,31.4206569054214,68.5793430945785,-0.371586861891571,-2817
141,"1400175",Cantá,RR,1.41314222267084,2660,7107,51,89,27.2345653731955,72.7654346268045,-0.455308692536091,-4447
142,"1400209",Caracaraí,RR,1.60545855910094,2729,7077,48,112,27.829900061187,72.170099938813,-0.443401998776259,-4348
143,"1400233",Caroebe,RR,1.80986854638979,1019,4135,30,65,19.7710516103997,80.2289483896003,-0.604578967792006,-3116
144,"1400282",Iracema,RR,2.5074764205199,1258,2980,38,71,29.6838131193959,70.3161868806041,-0.406323737612081,-1722
145,"1400308",Mucajaí,RR,1.67311513123497,1991,7412,60,100,21.174093374455,78.825906625545,-0.576518132510901,-5421
146,"1400407",Normandia,RR,0.820613819136714,2526,3517,15,35,41.8004302498759,58.1995697501241,-0.163991395002482,-991
147,"1400456",Pacaraima,RR,1.02225886232481,2165,3838,21,41,36.0653006829918,63.9346993170082,-0.278693986340163,-1673
148,"1400472",Rorainópolis,RR,1.72115895800106,3946,10843,105,154,26.6819933734532,73.3180066265468,-0.466360132530935,-6897
149,"1400506",São João da Baliza,RR,1.96390658174098,1223,2471,22,52,33.1077422847861,66.8922577152139,-0.337845154304277,-1248
150,"1400605",São Luiz,RR,1.76485210042257,1098,2854,16,55,27.7834008097166,72.2165991902834,-0.444331983805668,-1756
151,"1400704",Uiramutã,RR,1.634359559103,3530,1646,6,80,68.1993817619784,31.8006182380216,0.363987635239567,1884
152,"1500107",Abaetetuba,PA,2.18556742430327,72313,25118,864,1313,74.2197042009217,25.7802957990783,0.484394084018434,47195
153,"1500131",Abel Figueiredo,PA,2.689313517339,2357,1768,30,84,57.1393939393939,42.8606060606061,0.142787878787879,589
154,"1500206",Acará,PA,2.28585507405075,24668,11026,283,552,69.1096542836331,30.8903457163669,0.382193085672662,13642
155,"1500305",Afuá,PA,2.33434901616485,12643,6268,99,353,66.8552694199143,33.1447305800857,0.337105388398287,6375
156,"1500347",Água Azul do Norte,PA,1.69359041167275,3122,4424,56,74,41.3729128014842,58.6270871985158,-0.172541743970315,-1302
157,"1500404",Alenquer,PA,1.80331436744085,16020,15563,215,365,50.7234904853877,49.2765095146123,0.0144698097077542,457
158,"1500503",Almeirim,PA,2.09546682677875,11451,4855,92,257,70.2256837973752,29.7743162026248,0.404513675947504,6596
159,"1500602",Altamira,PA,2.42236310885283,23852,39713,573,1005,37.523794541021,62.476205458979,-0.24952410917958,-15861
160,"1500701",Anajás,PA,2.56498418374364,7201,6968,82,291,50.8222175171148,49.1777824828852,0.0164443503422966,233
161,"1500800",Ananindeua,PA,3.26381038049204,137406,138978,3624,5701,49.7156130600903,50.2843869399097,-0.00568773879819382,-1572
162,"1500859",Anapu,PA,2.08177511842433,6037,9673,117,217,38.4277530235519,61.5722469764481,-0.231444939528962,-3636
163,"1500909",Augusto Corrêa,PA,2.52883762200532,19278,7086,218,466,73.122439690487,26.877560309513,0.462448793809741,12192
164,"1500958",Aurora do Pará,PA,2.75542020158074,9566,3845,103,277,71.329505629707,28.670494370293,0.426590112594139,5721
165,"1501006",Aveiro,PA,1.5561123565871,4475,2990,37,81,59.9464166108506,40.0535833891494,0.198928332217013,1485
166,"1501105",Bagre,PA,1.70502983802217,8171,2206,39,141,78.7414474318204,21.2585525681796,0.574828948636408,5965
167,"1501204",Baião,PA,1.98599870910084,14758,4983,158,242,74.7581176232207,25.2418823767793,0.495162352464414,9775
168,"1501253",Bannach,PA,1.70742962621135,790,1340,11,26,37.0892018779343,62.9107981220657,-0.258215962441315,-550
169,"1501303",Barcarena,PA,2.48611927624273,48262,26380,823,1080,64.6579673642185,35.3420326357815,0.293159347284371,21882
170,"1501402",Belém,PA,3.31510121471162,431858,427051,11215,18235,50.279831740033,49.720168259967,0.00559663480065993,4807
171,"1501451",Belterra,PA,2.34812400768781,6068,5618,99,182,51.9253807975355,48.0746192024645,0.0385076159507103,450
172,"1501501",Benevides,PA,2.49673585760345,19869,16723,375,562,54.2987538259729,45.7012461740271,0.0859750765194578,3146
173,"1501576",Bom Jesus do Tocantins,PA,2.61498949334579,4579,3763,64,160,54.890913450012,45.109086549988,0.0978182690002398,816
174,"1501600",Bonito,PA,2.40691215799218,6727,2761,81,153,70.900084317032,29.099915682968,0.418001686340641,3966
175,"1501709",Bragança,PA,2.46555581723976,41378,24883,613,1062,62.4469899337469,37.5530100662532,0.248939798674937,16495
176,"1501725",Brasil Novo,PA,2.0163881748072,4109,8088,82,169,33.6886119537591,66.3113880462409,-0.326227760924818,-3979
177,"1501758",Brejo Grande do Araguaia,PA,2.04203013481364,2811,2130,26,77,56.8913175470553,43.1086824529447,0.137826350941105,681
178,"1501782",Breu Branco,PA,2.27354745579213,12388,9276,161,343,57.1824224519941,42.8175775480059,0.143648449039882,3112
179,"1501808",Breves,PA,2.22718927117426,30930,18062,282,834,63.1327563683867,36.8672436316133,0.262655127367734,12868
180,"1501907",Bujaru,PA,1.7131359586088,12012,5085,104,194,70.2579399894718,29.7420600105282,0.405158799789437,6927
181,"1501956",Cachoeira do Piriá,PA,2.24686028257457,7329,2634,60,169,73.5621800662451,26.4378199337549,0.471243601324902,4695
182,"1502004",Cachoeira do Arari,PA,1.67937811674978,10657,2750,76,153,79.4883269933617,20.5116730066383,0.589766539867234,7907
183,"1502103",Cametá,PA,1.76224940911373,60945,19273,627,812,75.9742202498192,24.0257797501808,0.519484404996385,41672
184,"1502152",Canaã dos Carajás,PA,1.98657572805023,13415,22799,299,435,37.0436847627989,62.9563152372011,-0.259126304744022,-9384
185,"1502202",Capanema,PA,2.87135481741672,24743,16458,485,733,60.0543676124366,39.9456323875634,0.201087352248732,8285
186,"1502301",Capitão Poço,PA,2.14686877226886,20767,11640,284,427,64.0818341716296,35.9181658283704,0.281636683432592,9127
187,"1502400",Castanhal,PA,2.78089082332091,53437,58469,1274,1927,47.7516844494486,52.2483155505514,-0.0449663110110271,-5032
188,"1502509",Chaves,PA,2.46675246675247,6117,2977,41,189,67.2641301957335,32.7358698042665,0.345282603914669,3140
189,"1502608",Colares,PA,2.37926136363636,6219,2028,83,118,75.4092397235358,24.5907602764642,0.508184794470717,4191
190,"1502707",Conceição do Araguaia,PA,2.75692258012432,10640,13451,213,470,44.1658710721846,55.8341289278154,-0.116682578556307,-2811
191,"1502756",Concórdia do Pará,PA,1.77689499677904,11559,6738,113,218,63.1742908673553,36.8257091326447,0.263485817347106,4821
192,"1502764",Cumaru do Norte,PA,1.24568800306631,1936,3217,16,49,37.5703473704638,62.4296526295362,-0.248593052590724,-1281
193,"1502772",Curionópolis,PA,2.08630810725052,5819,6524,113,150,47.14413027627,52.8558697237301,-0.057117394474601,-705
194,"1502806",Curralinho,PA,1.80647367221336,13465,3766,71,246,78.1440427137137,21.8559572862863,0.562880854274273,9699
195,"1502855",Curuá,PA,1.66883654870399,6397,1911,50,91,76.998074145402,23.001925854598,0.53996148290804,4486
196,"1502905",Curuçá,PA,2.63241609670749,17798,6688,183,479,72.6864330637916,27.3135669362084,0.453728661275831,11110
197,"1502939",Dom Eliseu,PA,1.9794244042193,11698,10883,157,299,51.804614498915,48.195385501085,0.0360922899783004,815
198,"1502954",Eldorado dos Carajás,PA,2.30256513835589,7185,7326,132,210,49.5141616704569,50.4858383295431,-0.00971676659086214,-141
199,"1503002",Faro,PA,1.236119840771,3772,942,13,46,80.0169707254985,19.9830292745015,0.60033941450997,2830
200,"1503044",Floresta do Araguaia,PA,2.02824376836319,4802,5535,58,156,46.4544838928122,53.5455161071878,-0.0709103221437554,-733
201,"1503077",Garrafão do Norte,PA,3.16353887399464,11899,4355,160,371,73.2065952996186,26.7934047003814,0.464131905992371,7544
202,"1503093",Goianésia do Pará,PA,2.34675557835342,8674,6556,132,234,56.9533814839133,43.0466185160867,0.139067629678267,2118
203,"1503101",Gurupá,PA,1.43426294820717,11516,4565,53,181,71.6124619115727,28.3875380884273,0.432249238231453,6951
204,"1503200",Igarapé-Açu,PA,2.81949617525732,17589,6676,222,482,72.4871213682258,27.5128786317742,0.449742427364517,10913
205,"1503309",Igarapé-Miri,PA,2.36780977595724,25085,14004,401,547,64.1740643147689,35.8259356852311,0.283481286295377,11081
206,"1503408",Inhangapi,PA,2.12194466827827,4584,2704,55,103,62.8979143798024,37.1020856201976,0.257958287596048,1880
207,"1503457",Ipixuna do Pará,PA,2.45324405449088,11127,5772,142,283,65.8441327889224,34.1558672110776,0.316882655778448,5355
208,"1503507",Irituia,PA,2.62346434339974,14866,5029,170,366,74.7222920331742,25.2777079668258,0.494445840663483,9837
209,"1503606",Itaituba,PA,2.16085205161467,21526,35796,552,714,37.5527720595932,62.4472279404068,-0.248944558808137,-14270
210,"1503705",Itupiranga,PA,2.13110561759441,13904,9058,132,368,60.5522167058619,39.4477832941381,0.211044334117237,4846
